YEAR,Month,Andhra Pradesh
1990,JUN,349
1990,JUL,305.5
1990,AUG,658.1
1990,SEP,408
1990,OCT,620.8
1990,NOV,250.2
1990,DEC,17.4
1991,JAN,50.1
1991,FEB,5.6
1991,MAR,15.8
1991,APR,67.3
1991,MAY,92.9
1991,JUN,590.3
1991,JUL,434.4
1991,AUG,333.9
1991,SEP,464.2
1991,OCT,370.8
1991,NOV,429.9
1991,DEC,23.3
1992,JAN,23.6
1992,FEB,3
1992,MAR,0.6
1992,APR,39.3
1992,MAY,103.9
1992,JUN,241.4
1992,JUL,409.1
1992,AUG,512.4
1992,SEP,305
1992,OCT,273.8
1992,NOV,367.9
1992,DEC,12.8
1993,JAN,3.5
1993,FEB,17.2
1993,MAR,46.1
1993,APR,53.5
1993,MAY,147.6
1993,JUN,181.4
1993,JUL,488.1
1993,AUG,338.7
1993,SEP,410.1
1993,OCT,505
1993,NOV,177.6
1993,DEC,154.3
1994,JAN,31.6
1994,FEB,47.4
1994,MAR,3
1994,APR,76.7
1994,MAY,100.9
1994,JUN,167.2
1994,JUL,512.1
1994,AUG,446.1
1994,SEP,173.1
1994,OCT,663.1
1994,NOV,341.9
1994,DEC,41.7
1995,JAN,131.4
1995,FEB,7.5
1995,MAR,34.6
1995,APR,42.6
1995,MAY,399.2
1995,JUN,244.1
1995,JUL,579.4
1995,AUG,554.4
1995,SEP,342
1995,OCT,680.4
1995,NOV,95.2
1995,DEC,9
1996,JAN,2.3
1996,FEB,9.5
1996,MAR,5.7
1996,APR,85.5
1996,MAY,64.4
1996,JUN,567.3
1996,JUL,438.1
1996,AUG,625.3
1996,SEP,506.2
1996,OCT,661.2
1996,NOV,132.5
1996,DEC,144.7
1997,JAN,66.5
1997,FEB,15.8
1997,MAR,54.4
1997,APR,137.3
1997,MAY,72.7
1997,JUN,185.6
1997,JUL,336.4
1997,AUG,306.3
1997,SEP,662.3
1997,OCT,271.9
1997,NOV,287.6
1997,DEC,204.7
1998,JAN,12.1
1998,FEB,50.4
1998,MAR,25.4
1998,APR,81.5
1998,MAY,83
1998,JUN,286.1
1998,JUL,524.1
1998,AUG,615.6
1998,SEP,621.7
1998,OCT,426.4
1998,NOV,260
1998,DEC,33.4
1999,JAN,1.1
1999,FEB,18.5
1999,MAR,6.3
1999,APR,19.5
1999,MAY,186.4
1999,JUN,246.9
1999,JUL,376.2
1999,AUG,408.3
1999,SEP,342.7
1999,OCT,305.5
1999,NOV,100.6
1999,DEC,9
2000,JAN,0.6
2000,FEB,127.8
2000,MAR,1.8
2000,APR,49.6
2000,MAY,167.8
2000,JUN,503.3
2000,JUL,437.5
2000,AUG,938.2
2000,SEP,245.4
2000,OCT,240.3
2000,NOV,66.2
2000,DEC,56.2
2001,JAN,11.2
2001,FEB,0
2001,MAR,33.3
2001,APR,164.4
2001,MAY,74.6
2001,JUN,323.4
2001,JUL,297.5
2001,AUG,489
2001,SEP,558.6
2001,OCT,678
2001,NOV,136.8
2001,DEC,41.1
2002,JAN,64.2
2002,FEB,3.3
2002,MAR,3.7
2002,APR,32.2
2002,MAY,112.3
2002,JUN,325.6
2002,JUL,205.5
2002,AUG,531
2002,SEP,234.7
2002,OCT,435.4
2002,NOV,75.4
2002,DEC,6.1
2003,JAN,2.6
2003,FEB,14.3
2003,MAR,86.7
2003,APR,28.2
2003,MAY,12.6
2003,JUN,281.8
2003,JUL,704.4
2003,AUG,567.1
2003,SEP,367.2
2003,OCT,588.2
2003,NOV,14.9
2003,DEC,111.3
2004,JAN,45
2004,FEB,15.1
2004,MAR,17.2
2004,APR,107.7
2004,MAY,268.3
2004,JUN,197.9
2004,JUL,517.9
2004,AUG,268.1
2004,SEP,454.9
2004,OCT,376.2
2004,NOV,83
2004,DEC,0
2005,JAN,41.7
2005,FEB,24.6
2005,MAR,37.5
2005,APR,68.1
2005,MAY,126.5
2005,JUN,236.5
2005,JUL,680.8
2005,AUG,366
2005,SEP,767.6
2005,OCT,848.8
2005,NOV,194.6
2005,DEC,76.2
2006,JAN,0.6
2006,FEB,0
2006,MAR,124.7
2006,APR,112.7
2006,MAY,187
2006,JUN,312.4
2006,JUL,282.4
2006,AUG,521.8
2006,SEP,609.8
2006,OCT,321.5
2006,NOV,225.1
2006,DEC,22.6
2007,JAN,0
2007,FEB,13.3
2007,MAR,1.1
2007,APR,43.6
2007,MAY,98.7
2007,JUN,660.4
2007,JUL,333.8
2007,AUG,552
2007,SEP,684.5
2007,OCT,413.2
2007,NOV,69.6
2007,DEC,60.4
2008,JAN,10.7
2008,FEB,104.7
2008,MAR,284.8
2008,APR,25.8
2008,MAY,84.1
2008,JUN,246.6
2008,JUL,430.8
2008,AUG,694.4
2008,SEP,412
2008,OCT,238.4
2008,NOV,310.7
2008,DEC,7.2
2009,JAN,3.1
2009,FEB,0
2009,MAR,14.3
2009,APR,13.1
2009,MAY,136.3
2009,JUN,182.3
2009,JUL,231.2
2009,AUG,428.4
2009,SEP,475.7
2009,OCT,252.5
2009,NOV,304.7
2009,DEC,42
2010,JAN,35.3
2010,FEB,9.8
2010,MAR,4.5
2010,APR,50.1
2010,MAY,297.7
2010,JUN,335.3
2010,JUL,817
2010,AUG,680.1
2010,SEP,536.8
2010,OCT,390.5
2010,NOV,449.7
2010,DEC,174.1
2011,JAN,2
2011,FEB,37.2
2011,MAR,3.1
2011,APR,112.3
2011,MAY,116
2011,JUN,207.9
2011,JUL,538.8
2011,AUG,593.3
2011,SEP,231.6
2011,OCT,209
2011,NOV,133.3
2011,DEC,33.4
2012,JAN,45.5
2012,FEB,1
2012,MAR,5.3
2012,APR,87.8
2012,MAY,86.8
2012,JUN,232.4
2012,JUL,578.3
2012,AUG,533.6
2012,SEP,455.3
2012,OCT,348.6
2012,NOV,378.9
2012,DEC,67.7
2013,JAN,5.8
2013,FEB,89.9
2013,MAR,11.8
2013,APR,85.8
2013,MAY,72.4
2013,JUN,351.8
2013,JUL,626.9
2013,AUG,429.6
2013,SEP,485.5
2013,OCT,757.3
2013,NOV,107.4
2013,DEC,6.8
2014,JAN,0.9
2014,FEB,3.6
2014,MAR,68.1
2014,APR,25.9
2014,MAY,207.5
2014,JUN,156.1
2014,JUL,348.4
2014,AUG,423.9
2014,SEP,328.6
2014,OCT,306
2014,NOV,90
2014,DEC,27.3
2015,JAN,39.9
2015,FEB,78.3
2015,MAR,72.7
2015,APR,85.8
2015,MAY,153.8
2015,JUN,247.1
2015,JUL,437.3
2015,AUG,387.3
2015,SEP,371.5
2015,OCT,473.3
2015,NOV,120.6
2015,DEC,54.1
2016,JAN,56.8
2016,FEB,73.5
2016,MAR,97.5
2016,APR,85.6
2016,MAY,187.3
2016,JUN,204.1
2016,JUL,359.5
2016,AUG,370.1
2016,SEP,324.8
2016,OCT,356.8
2016,NOV,125.9
2016,DEC,73.4
